PIN  NUMBER,MCU PIN,SEED PIN NAME,PRIMARY FUNCTION,ALT FUNC 1,ADC CHANNEL,DEBUG PIN,DEBUG PRIMARY,DEBUG ALT FUNC 1,
1,PA8,GPIO1,PWM1 (TIM1_CH1/HRTIM_CHB2),,,TRUE,,,
2,PB12,GPIO2,USB OTG ID,GPIO (software PWM),,TRUE,,,
3,PC11,GPIO3,SDMMC_D3,GPIO (software PWM),,TRUE,TRUE,,
4,PC10,GPIO4,SDMMC_D2,GPIO (software PWM),,TRUE,TRUE,,
5,PC9,GPIO5,SDMMC_D1,PWM (multiple timers),,TRUE,TRUE,,
6,PC8,GPIO6,SDMMC_D0,PWM (multiple timers),,TRUE,TRUE,,
7,PD7,GPIO7,SDMMC_CMD,UART RX (UART5),,TRUE,TRUE,,
8,PC12,GPIO8,SDMMC_CK,UART TX (UART5),,TRUE,TRUE,,
9,PG10,GPIO9,SPI_CS,I2S1_WS,,TRUE,,,
10,PG11,GPIO10,SPI_SCK,I2S1_CK,,TRUE,,,
11,PB4,GPIO11,SPI_MISO,I2S1_SI,,TRUE,,,
12,PB5,GPIO12,SPI_MOSI,I2S1_SO,,TRUE,,,
13,PB8,GPIO13,I2C_SCL (I2C1/I2C4),PWM (multiple timers),,TRUE,TRUE,,
14,PB9,GPIO14,I2C_SDA (I2C1/I2C4),PWM (multiple timers),,TRUE,TRUE,,
15,PB6,GPIO15,UART TX,I2C4_SCL,,,,,
16,PB7,GPIO16,UART RX,I2C4_SDA,,,,,
17,N/A,AUDIO IN LEFT,,,,TRUE,,,
18,N/A,AUDIO IN RIGHT,,,,TRUE,,,
19,N/A,AUDIO OUT LEFT,,,,TRUE,,,
20,N/A,AUDIO OUT RIGHT,,,,TRUE,,,
21,N/A,GND,,,,TRUE,,,
22,N/A,3V3A,,,,TRUE,,,
23,PC0,GPIO17,ADC3,GPIO (software PWM),ADC1_INP10,TRUE,TRUE,,
24,PA1,GPIO18,SAI2_MCLK,ADC7,ADC1_INP17,TRUE,,TRUE,
25,PA3,GPIO19,ADC6,PWM (multiple timers),ADC1_INP15,TRUE,TRUE,,
26,PB1,GPIO20,ADC5,PWM (multiple timers),ADC1_INP5,TRUE,TRUE,,
27,PA7,GPIO21,ADC2,PWM (multiple timers),ADC1_INP7,TRUE,TRUE,,
28,PA6,GPIO22,ADC1,PWM (multiple timers),ADC1_INP3,TRUE,TRUE,,
29,PC1,GPIO23,ADC4,GPIO (software PWM),ADC1_INP11,TRUE,TRUE,,
30,PC5,GPIO24,ADC8_OPAMP,ADC8_NORMAL,ADC1_INP4 (OPAMP VINM),TRUE,TRUE,,
31,PA5,GPIO25,,ADC9,ADC1_INP19,TRUE,TRUE,,
32,PA4,GPIO26,DAC2,ADC10,ADC1_INP18,TRUE,TRUE,,
33,PA0,GPIO27,SAI2_SD_B (SOUT),ADC11,ADC1_INP16,TRUE,TRUE,,
34,PD11,GPIO28,SAI2_SD_A (SIN),ADC EXTI11,,TRUE,TRUE,,
35,PG9,GPIO29,SAI2_FS_B,GPIO (software PWM),,TRUE,TRUE,,
36,PA2,GPIO30,SAI2_SCK_B,ADC,ADC1_INP14,TRUE,TRUE,,
37,PB14,GPIO31,USB D-,PWM (multiple timers),,TRUE,TRUE,,
38,PB15,GPIO32,USB D+,PWM (multiple timers),,TRUE,TRUE,,
39,N/A,VIN,5-17V Input to Switching Regulator,,,TRUE,,,
40,N/A,VOUT,Unregulated VIN (USB +5V if self-powered),,,,,,
QSPI_IO0,PF8,,,,,TRUE,,,
QSPI_IO1,PF9,,,,,TRUE,,,
QSPI_IO2,PF7,,,,,TRUE,,,
QSPI_IO3,PF6,,,,,TRUE,,,
QSPI_CLK,PF10,,,,,TRUE,,,
QSPI_NCS,PG6,,,,,,,,
